location_id,geometry
167,POINT (10.069885213774821 46.32309891461883)
168,POINT (10.117019216846742 46.318908229931075)
169,POINT (10.130444412752395 46.356461368430296)
170,POINT (10.164176927061654 46.314695410652426)
171,POINT (10.15072040074268 46.27717970865863)
172,POINT (10.137292390691895 46.239690655886356)
173,POINT (10.184354217743378 46.23547731901714)
174,POINT (10.197841919331934 46.27295556357389)
175,POINT (10.123892812835194 46.20222827628654)
176,POINT (9.0682750203101 45.90653271932351)
177,POINT (9.056349639743976 45.869166906183345)
178,POINT (9.01051058617142 45.872809028332824)
179,POINT (9.022377618937933 45.91018421262445)
180,POINT (8.976505686613246 45.91381484335191)
181,POINT (8.964696999645284 45.87643033968621)
182,POINT (8.918908962500009 45.88003087000996)
183,POINT (8.884838559463956 45.92101363643012)
184,POINT (8.930659305975476 45.91742464131884)
185,POINT (8.942434545131912 45.954845942548474)
186,POINT (8.896555341806172 45.95844417840754)
187,POINT (8.908296977427234 45.99590225495407)
188,POINT (8.954234753807386 45.99229475349156)
189,POINT (9.000198169192004 45.98866634541433)
190,POINT (8.98833938508045 45.95122685201955)
191,POINT (9.034269778906635 45.94758687686891)
192,POINT (9.046187140528788 45.98501700072361)
193,POINT (9.070097767960272 46.05995954496345)
194,POINT (9.02399129234555 46.063627704357124)
195,POINT (9.012082113376145 46.02613330307576)
196,POINT (8.966060006122133 46.02977105375525)
197,POINT (8.920063540138482 46.033387845744244)
198,POINT (8.931855104033733 46.070900930266774)
199,POINT (8.97791037647984 46.067274822760695)
200,POINT (8.989785939568991 46.10480603974262)
201,POINT (8.943671743490608 46.1084414878241)
202,POINT (8.955513533171851 46.14600949753191)
203,POINT (9.001686770364174 46.142364683748745)
204,POINT (9.047885654921004 46.13869875425915)
205,POINT (9.035925781098655 46.10114952842508)
206,POINT (9.082091184097862 46.09747192373203)
207,POINT (9.094110102548102 46.13501167887678)
208,POINT (9.14036002874818 46.13130342751)
209,POINT (9.281980286858076 46.274139948604656)
210,POINT (9.269680043741612 46.23651994016965)
211,POINT (9.223201567703926 46.240299674359996)
212,POINT (9.235442292674707 46.27792941515177)
213,POINT (9.18892960884661 46.281697433873966)
214,POINT (9.176748401866064 46.24405801391039)
215,POINT (9.164593120856665 46.206445858284944)
216,POINT (9.210986886946547 46.20269717197433)
217,POINT (9.198798173016074 46.165121929977445)
218,POINT (9.152463688744016 46.16886098891037)
219,POINT (9.106154599195976 46.172578789120855)
220,POINT (9.118224750217248 46.210173232999125)
221,POINT (9.071881860359111 46.21387932620504)
222,POINT (9.05987098938657 46.176275360651196)
223,POINT (9.01361294412743 46.1799507336394)
224,POINT (8.967380548026666 46.183604938318624)
225,POINT (8.979272863292046 46.221227788924956)
226,POINT (9.0255645364096 46.21756416808699)
227,POINT (9.037541623051663 46.25520496557554)
228,POINT (8.991190554494137 46.25887802790345)
229,POINT (9.003133697449577 46.29655563361796)
230,POINT (9.04954428018609 46.2928731044002)
231,POINT (9.095980516737193 46.28916924826985)
232,POINT (9.083918343993522 46.25151062933587)
233,POINT (9.1303206320798 46.24779498885769)
234,POINT (9.142442321544996 46.2854440348534)
235,POINT (9.154589895669066 46.32312034895338)
236,POINT (9.166763431804474 46.36082390893458)
237,POINT (9.120182236812582 46.36456834550381)
238,POINT (9.108068455331379 46.32685516104362)
239,POINT (9.061572584238233 46.33056856266682)
240,POINT (9.015102368266868 46.334260584243204)
241,POINT (9.027096643347734 46.371992857764276)
242,POINT (9.073626611927674 46.36829131829141)
243,POINT (9.085706440269615 46.40604134899969)
244,POINT (9.039116599388514 46.409752431976166)
245,POINT (9.051162313381527 46.44753928448332)
246,POINT (9.097812146576263 46.443818632326625)
247,POINT (9.144487638066533 46.440076439917064)
248,POINT (9.13232193851392 46.402308779306566)
249,POINT (9.178963007601311 46.398554692383215)
